場所,コース,回り,年月日,曜日,時刻,馬名,Ｃ,性別,年齢,収得賞金,調教師,10F,9F,8F,7F,6F,5F,4F,3F,2F,1F,Lap9,Lap8,Lap7,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1,日付S,所属,種牡馬名,母名,現馬主名,馬番/仮番(出馬表モード時のみ)
栗東,C,右,20260620,土,6:52,ジューンアゲイン,,牡,3,400,長谷川浩,,164.1,142.9,123.4,105.2,88.1,70.6,51.7,33.6,16.8,21.2,19.5,18.2,17.1,17.5,18.9,18.1,16.8,16.8,2026.6.20,栗東,リオンディーズ,マンハッタンガール,吉川潤,
栗東,C,右,20260617,水,5:33,シュテルンビルト,,牡,4,400,森田直行,,,,,,,99.3,73.8,48.2,23.3,,,,,,25.5,25.6,24.9,23.3,2026.6.17,栗東,レインボーライン,ブループレリュード,三田昌宏,
栗東,C,左,20260609,火,6:00,シンギタイ,,セ,4,400,庄野靖志,,,,,,97.0,74.6,54.9,35.4,17.1,,,,,22.4,19.7,19.5,18.3,17.1,2026.6.9,栗東,スワーヴリチャード,クーレクー,程田真司,
栗東,C,右,20260610,水,8:33,シンギタイ,,セ,4,400,庄野靖志,,141.2,122.4,103.2,85.8,69.1,52.9,37.3,23.0,11.3,18.8,19.2,17.4,16.7,16.2,15.6,14.3,11.7,11.3,2026.6.10,栗東,スワーヴリチャード,クーレクー,程田真司,
栗東,C,左,20260614,日,5:12,シンギタイ,,セ,4,400,庄野靖志,,,,,,72.6,52.3,37.1,22.7,11.1,,,,,20.3,15.2,14.4,11.6,11.1,2026.6.14,栗東,スワーヴリチャード,クーレクー,程田真司,
栗東,C,左,20260616,火,6:26,シンギタイ,,セ,4,400,庄野靖志,,,,,,95.3,72.1,52.3,33.9,16.9,,,,,23.2,19.8,18.4,17.0,16.9,2026.6.16,栗東,スワーヴリチャード,クーレクー,程田真司,
栗東,C,右,20260617,水,6:12,シンギタイ,,セ,4,400,庄野靖志,,,,,85.3,68.0,52.2,37.6,23.7,12.1,,,,17.3,15.8,14.6,13.9,11.6,12.1,2026.6.17,栗東,スワーヴリチャード,クーレクー,程田真司,
栗東,C,右,20260612,金,5:52,アレーティア,,牝,4,400,田中克典,,151.5,132.3,114.4,97.1,80.4,62.7,45.7,29.5,14.7,19.2,17.9,17.3,16.7,17.7,17.0,16.2,14.8,14.7,2026.6.12,栗東,ブリックスアンドモルタル,リアルヴィーナス,水上行雄,
栗東,C,左,20260614,日,7:51,アレーティア,,牝,4,400,田中克典,,135.5,116.7,98.2,81.5,66.9,52.5,37.9,24.3,12.1,18.8,18.5,16.7,14.6,14.4,14.6,13.6,12.2,12.1,2026.6.14,栗東,ブリックスアンドモルタル,リアルヴィーナス,水上行雄,
栗東,C,右,20260617,水,7:23,アレーティア,,牝,4,400,田中克典,,136.4,117.5,99.9,83.1,67.5,53.1,38.1,23.9,12.0,18.9,17.6,16.8,15.6,14.4,15.0,14.2,11.9,12.0,2026.6.17,栗東,ブリックスアンドモルタル,リアルヴィーナス,水上行雄,
栗東,C,右,20260610,水,7:27,キアヌ,,牡,4,400,小崎憲,,156.6,133.4,113.1,95.4,79.2,62.0,45.3,29.7,15.3,23.2,20.3,17.7,16.2,17.2,16.7,15.6,14.4,15.3,2026.6.10,栗東,ディスクリートキャット,ジョディーズロマン,ニッシンホールディングス,
栗東,C,右,20260611,木,5:27,ラッキーバック,,牡,3,400,西村真幸,,144.1,121.5,101.2,83.3,67.4,52.3,37.2,23.4,11.9,22.6,20.3,17.9,15.9,15.1,15.1,13.8,11.5,11.9,2026.6.11,栗東,タワーオブロンドン,ショレアドルチェ,吉田和美,
栗東,C,左,20260609,火,6:28,ジェルソミーノ,,牝,3,0,牧田和弥,,192.2,169.2,143.3,118.4,93.7,73.3,54.2,35.6,18.1,23.0,25.9,24.9,24.7,20.4,19.1,18.6,17.5,18.1,2026.6.9,栗東,ルーラーシップ,アンドリエッテ,永田和彦,
栗東,C,右,20260610,水,5:30,ジェルソミーノ,,牝,3,0,牧田和弥,,140.5,120.6,101.2,83.3,67.9,52.8,38.2,24.4,12.3,19.9,19.4,17.9,15.4,15.1,14.6,13.8,12.1,12.3,2026.6.10,栗東,ルーラーシップ,アンドリエッテ,永田和彦,
栗東,C,右,20260613,土,5:27,ジェルソミーノ,,牝,3,0,牧田和弥,,154.5,133.9,114.0,95.9,79.3,63.0,46.4,30.2,14.9,20.6,19.9,18.1,16.6,16.3,16.6,16.2,15.3,14.9,2026.6.13,栗東,ルーラーシップ,アンドリエッテ,永田和彦,
栗東,C,左,20260614,日,5:27,ジェルソミーノ,,牝,3,0,牧田和弥,,151.4,132.2,114.1,96.2,77.1,60.3,43.9,28.4,14.1,19.2,18.1,17.9,19.1,16.8,16.4,15.5,14.3,14.1,2026.6.14,栗東,ルーラーシップ,アンドリエッテ,永田和彦,
栗東,C,左,20260616,火,5:32,ジェルソミーノ,,牝,3,0,牧田和弥,,163.3,142.4,122.1,103.0,85.4,67.8,50.1,32.5,16.3,20.9,20.3,19.1,17.6,17.6,17.7,17.6,16.2,16.3,2026.6.16,栗東,ルーラーシップ,アンドリエッテ,永田和彦,
栗東,C,右,20260619,金,7:25,ジェルソミーノ,,牝,3,0,牧田和弥,,154.3,134.8,116.1,97.8,81.0,64.2,47.3,30.9,15.7,19.5,18.7,18.3,16.8,16.8,16.9,16.4,15.2,15.7,2026.6.19,栗東,ルーラーシップ,アンドリエッテ,永田和彦,
栗東,C,右,20260610,水,6:48,サリーチェ,,牝,4,400,池添学,,144.5,124.1,103.8,84.8,67.9,52.9,38.2,24.0,12.0,20.4,20.3,19.0,16.9,15.0,14.7,14.2,12.0,12.0,2026.6.10,栗東,ドゥラメンテ,サロミナ,シルクレーシング,
栗東,C,右,20260613,土,6:54,サリーチェ,,牝,4,400,池添学,,,,,,,74.4,54.4,35.4,17.2,,,,,,20.0,19.0,18.2,17.2,2026.6.13,栗東,ドゥラメンテ,サロミナ,シルクレーシング,
栗東,C,右,20260611,木,6:49,アーリーハーベスト,,牝,3,900,小林真也,,140.1,120.8,101.7,83.7,68.0,52.8,37.0,22.8,11.0,19.3,19.1,18.0,15.7,15.2,15.8,14.2,11.8,11.0,2026.6.11,栗東,アドマイヤマーズ,スターズアンドクラウズ,吉田和美,
栗東,C,右,20260610,水,5:51,メイショウピリカ,,牝,4,400,本田優,,138.5,117.4,97.2,79.9,64.7,50.7,36.9,23.5,11.6,21.1,20.2,17.3,15.2,14.0,13.8,13.4,11.9,11.6,2026.6.10,栗東,オルフェーヴル,メイショウバーズ,松本好隆,
栗東,C,右,20260617,水,8:24,メイショウピリカ,,牝,4,400,本田優,,149.3,126.5,105.3,86.9,70.2,52.9,37.0,22.9,11.6,22.8,21.2,18.4,16.7,17.3,15.9,14.1,11.3,11.6,2026.6.17,栗東,オルフェーヴル,メイショウバーズ,松本好隆,
栗東,C,左,20260614,日,4:29,エイシンウィスパー,,牝,3,400,今野貞一,,157.5,134.0,113.0,94.2,77.5,60.8,44.3,28.6,14.4,23.5,21.0,18.8,16.7,16.7,16.5,15.7,14.2,14.4,2026.6.14,栗東,ルーラーシップ,エイシンカラット,栄進堂,
栗東,C,右,20260611,木,5:29,コニーアイランド,,牝,3,400,中内田充,,144.7,124.2,103.3,85.1,68.8,53.4,37.6,22.6,10.8,20.5,20.9,18.2,16.3,15.4,15.8,15.0,11.8,10.8,2026.6.11,栗東,コントレイル,ヤンキーローズ,サンデーレーシング,
栗東,C,右,20260617,水,5:32,コニーアイランド,,牝,3,400,中内田充,,,,,80.1,65.8,51.7,37.5,23.7,11.8,,,,14.3,14.1,14.2,13.8,11.9,11.8,2026.6.17,栗東,コントレイル,ヤンキーローズ,サンデーレーシング,
栗東,C,右,20260610,水,5:53,リオンプライム,,牝,4,0,鈴木孝志,,177.2,128.7,104.3,84.0,68.4,53.6,38.1,23.5,11.8,48.5,24.4,20.3,15.6,14.8,15.5,14.6,11.7,11.8,2026.6.10,栗東,リオンディーズ,スールキートス,ヒダカ・ブリーダーズ・ユニオン,
